asin;availability;brand;category;created_on;description;description_de;detail_page_url;detail_page_url_de;featured;large_image;large_image_alt;large_image_alt_de;manufacturer;medium_image;medium_image_alt;medium_image_alt_de;meta_description;meta_description_de;popularity;price;publisher;slug;slug_de;title;title_de;updated_on;uuid
B0916XKS9X;; Qdreclod;;2021/06/21 11:54:58;Durable material: Polyrattan is weatherproof and outlasts Central European weather conditions. The tear-resistant and tensile resistant material can withstand rain, high temperatures and intense sunlight effortlessly. This means that polyrattan retains its beautiful colour for years. In addition, dirt cannot penetrate the fibres and therefore only sits on the surface. This makes it very easy to clean. The wicker can be easily cleaned with a damp cloth and mild detergent.     Comfortable seat cushion: The 5 cm thick seat pads allow you to sit soft for hours. The cushion is removable and the cushion cover is washable. Elegant side band ensures that the cushion retains its shape. The soft surface cloth provides a smooth finish and excellent feel. The simple cushion covers can be easily removed thanks to the concealed zips and cleaned at 30 degrees.     Perfect for 4 people seating group: The table top is made of safety glass. Very sturdy and easy to scrub The 71 x 41 cm table can safely store cool drinks and nibbles. So this set is the perfect outdoor equipment for the garden, terrace or balcony, backyard, pool. For 4 people enjoy the social weekend and evening hours relaxed in the garden.     Sturdy steel frame: A braced base made of powder-coated steel serves as a frame for the beautiful poly rattan wicker. The sturdy steel frame gives the seating set a secure stand. Thanks to the comprehensive powder coating, the frame is well protected from corrosion.     Box contents: 1 x table with glass top. 71 x 41 x 39 cm (L x W x H), 2 x single chairs including cushion: approx. 58.5 x 54 x 82 cm (L x W x H), 1 x double sofa incl. cushion: approx. 101 x 54 x 82 cm (L x W x H). Easy to assemble.;;https://www.amazon.de/gp/product/B0916XKS9X?ie=UTF8&linkCode=sl1&tag=meister002-21&linkId=937deabd476b45ef941a7997a4272bab&language=en_GB&ref_=as_li_ss_tl;;;https://images-eu.ssl-images-amazon.com/images/I/61j4XiEll6S.__AC_SX300_SY300_QL70_ML2_.jpg;Garden Lounge Set, Rattan Seating Set For 4 People, Balcony Furniture Set With Seat Cushion, Garden Furniture Set With 2 Pieces Single Sofa, 1 Piece Double Sofa And 1 Piece Table, Furniture Sets For Backyard Afternoon Tea;; Qdreclod;https://images-eu.ssl-images-amazon.com/images/I/61j4XiEll6S.__AC_SX300_SY300_QL70_ML2_.jpg;Garden Lounge Set, Rattan Seating Set For 4 People, Balcony Furniture Set With Seat Cushion, Garden Furniture Set With 2 Pieces Single Sofa, 1 Piece Double Sofa And 1 Piece Table, Furniture Sets For Backyard Afternoon Tea;;Garden Lounge Set, Rattan Seating Set For 4 People, Balcony Furniture Set With Seat Cushion, Garden Furniture Set With 2 Pieces Single Sofa, 1 Piece Double Sofa And 1 Piece Table, Furniture Sets For Backyard Afternoon Tea: Meisteraffiliateshop Garten;;27;182.99; Qdreclod;garden-lounge-set-rattan-seating-set-for-4-people-balcony-furniture-set-with-seat-cushion-garden-furniture-set-with-2-pieces-single-sofa-1-piece-double-sofa-and-1-piece-table-furniture-sets-for-backyard-afternoon-tea;;Garden Lounge Set, Rattan Seating Set For 4 People, Balcony Furniture Set With Seat Cushion, Garden Furniture Set With 2 Pieces Single Sofa, 1 Piece Double Sofa And 1 Piece Table, Furniture Sets For Backyard Afternoon Tea;;2021/06/21 11:54:58;06802931-d1cb-4703-bee7-7812d6a127c0
B000XE7Q5A;; Power Block ;;2021/06/21 11:54:58;The Sport 90 EXP has a weight of 2 - 22.5 kg / 4.5 - 29.5 lbs with optional add on kits to take the weight up to 31 kg / 68 lbs (level 2) and 41 kg / 90 lbs (level 3).     Pair of adjustable dumbbells for efficient, cost effective strength training.     Replaces up to 28 with 16 (and add to kits) pairs of dumbbells.     Selector pin allows you to change weights easily, just like with weight block at the gym.;;https://www.amazon.de/-/en/Powerblock-Sport-90-EXP-Dumbbells/dp/B000XE7Q5A?dchild=1&keywords=powerblock+sport+90+exp+hanteln&qid=1623833341&s=sports&sr=1-1&linkCode=sl1&tag=meister002-21&linkId=f196f1706c51b0183d3560d65ee39d71&language=en_GB&ref_=as_li_ss_tl;;;https://images-eu.ssl-images-amazon.com/images/I/61fOgWhLMuL.__AC_SX300_SY300_QL70_ML2_.jpg;Powerblock Sport 90 EXP Dumbbells;; Power Block ;https://images-eu.ssl-images-amazon.com/images/I/61fOgWhLMuL.__AC_SX300_SY300_QL70_ML2_.jpg;Powerblock Sport 90 EXP Dumbbells;;Powerblock Sport 90 EXP Dumbbells: Meisteraffiliateshop Sport & Freizeit;;41;495.00; Power Block ;powerblock-sport-90-exp-dumbbells;;Powerblock Sport 90 EXP Dumbbells;;2021/06/21 11:54:58;9b289f0e-13c5-423c-876f-c25a35e28e6a
B08L5QZ696;; Apple ;;2021/06/21 11:54:59;About this item         6.1 inch Super Retina XDR display (15.5 cm diagonal).     Ceramic shield that can withstand more than any smartphone glass.     5G for super-fast downloads and streaming of the highest quality.     A14 Bionic, the fastest chip in a smartphone     Advanced Dual Camera System with 12MP Ultra Wide Angle and Wide Angle Lens, Night Mode, Deep Fusion, Smart HDR 3, 4K Dolby Vision HDR Recording     12MP TrueDepth Front Camera with Night Mode, 4K Dolby Vision HDR Recording     Industry-leading IP68 water protection                   Supports MagSafe accessories for easy docking and faster wireless charging.  iOS with new widgets on the home screen, the new app media library, app clips and more.    Show More;;https://www.amazon.de/gp/product/B08L5QZ696?ie=UTF8&th=1&linkCode=sl1&tag=meister002-21&linkId=0b7dac6f36858c64c398ebed0240d97c&language=en_GB&ref_=as_li_ss_tl;;;https://images-eu.ssl-images-amazon.com/images/I/71IluxZN8pL.__AC_SY445_SX342_QL70_ML2_.jpg;Apple iPhone 12;; Apple ;https://images-eu.ssl-images-amazon.com/images/I/71IluxZN8pL.__AC_SY445_SX342_QL70_ML2_.jpg;Apple iPhone 12;;Apple iPhone 12: Meisteraffiliateshop Alle Produkte;;3531;; Apple ;apple-iphone-12;;Apple iPhone 12;;2021/06/21 11:54:59;f547ebc8-36ef-47c5-8465-631fe9af5134
B08SQR7JS5;; ECD Germany;;2021/06/21 11:54:59;The ECD Germany stand up paddle board is a fantastic all-round board for riders up to approx. 120kg With a length of 308 cm, an adult and a child can easily fit on our board. The paddle board is ideal for all levels of difficulty, from beginner to advanced stand-up paddlers. With the help of this surfboard, you can enjoy the appeal of the sea.     Inflatable – As it is inflatable, it can be easily transported in the included carry bag when travelling. In the carry bag there is also space for an accessory set, paddle and pump. The bag is made from a water resistant, robust and durable material. So you can also protect your valuables and clothing from moisture and sand.     Robust – The paddle board has a 10 cm thick double-walled drop stitch core and is made of PVC/EVA, so it can withstand high loads and ensures optimal driving performance in the water. The robust structure and light weight ensure easy control and fast acceleration.     High stability – the 3 integrated fins provide more directional stability and the non-slip traction pad guarantees a secure hold on the board. The package includes an air pump with pressure gauge and large lifting volume. The board is therefore quickly inflated and ready to use.     Includes carry bag with accessories set – the ECD Germany surfboard offers you the right paddle board experience. When you buy the item you will receive a complete set with adjustable aluminium paddle, air pump, repair kit, safety leash and carry bag and are therefore ready to use.;;https://www.amazon.de/gp/product/B08SQR7JS5?ie=UTF8&linkCode=sl1&tag=meister002-21&linkId=e2b36d42f57b0e3bb22fe83b010a7186&language=en_GB&ref_=as_li_ss_tl;;;https://images-eu.ssl-images-amazon.com/images/I/61MfF3UbuGL.__AC_SX300_SY300_QL70_ML2_.jpg;ECD Germany IP-776 to IP-779 / IP-947 to IP-953 Stand Up Paddle;; ECD Germany;https://images-eu.ssl-images-amazon.com/images/I/61MfF3UbuGL.__AC_SX300_SY300_QL70_ML2_.jpg;ECD Germany IP-776 to IP-779 / IP-947 to IP-953 Stand Up Paddle;;ECD Germany IP-776 to IP-779 / IP-947 to IP-953 Stand Up Paddle: Meisteraffiliateshop Sport & Freizeit;;336;309.99; ECD Germany;ecd-germany-ip-776-to-ip-779-ip-947-to-ip-953-stand-up-paddle;;ECD Germany IP-776 to IP-779 / IP-947 to IP-953 Stand Up Paddle;;2021/06/21 11:54:59;44854ddb-06bb-4c23-ab46-a0eb630d51a3
B08J6HN3CH;; Apple ;;2021/06/21 11:54:59;About this item         With the GPS model, you can answer calls and answer text messages from your wrist.     Measure the oxygen content in your blood with a new sensor and an app.     Check your heart rhythm with the ECG app.     The Always-On Retina display is 2.5 times brighter outdoors when your wrist is below.     The S6 SiP is up to 20% faster than the Series 5     5GHz Wi-Fi and U1 Ultra Broadband Chip     Track your daily activity on the Apple Watch and see your trends in the fitness app on the iPhone.                   Record workouts such as running, walking, cycling, yoga, swimming and dancing.  Floating design  Sync your music, podcasts and audiobooks    Show More;;https://www.amazon.de/gp/product/B08J6HN3CH?ie=UTF8&linkCode=sl1&tag=meister002-21&linkId=b680390867f9de23ef1d87cce5c6abc9&language=en_GB&ref_=as_li_ss_tl;;;https://images-eu.ssl-images-amazon.com/images/I/7124297vM4L.__AC_SY445_SX342_QL70_ML2_.jpg;Apple Watch Series 6 GPS;; Apple ;https://images-eu.ssl-images-amazon.com/images/I/7124297vM4L.__AC_SY445_SX342_QL70_ML2_.jpg;Apple Watch Series 6 GPS;;Apple Watch Series 6 GPS: Meisteraffiliateshop Alle Produkte;;8431;; Apple ;apple-watch-series-6-gps;;Apple Watch Series 6 GPS;;2021/06/21 11:54:59;0b6926d5-aaa2-49fb-a742-4327ca7f74fb
B07DF2CLML;; Campingaz ;;2021/06/21 11:54:59;"About this item         Compact and powerful: easy-to-use table-top stove (2. 200 W) with piezo ignition; the flame is individually adjustable; robust stainless steel pan support included     Maximum safety: Stopgaz system - the built-in safety device stops the gas flow if there is no flame; reliable overheating protection     Practical design and protection: Operation with Campingaz gas cartridge CP 250, which disappears into the integrated cartridge compartment during operation; including practical transport case     Comprehensive gas supply: Campingaz has a global sales network for gas cartridges (in over 50 countries), dealer overview on campingaz / gasfinder     Dimensions: 37 x 29 x 13 cm; Gas consumption 160 g / h; Running time 1 h 25 min; Weight 1, 8 kg; suitable for pans / pot sizes 12 - 26 cm; not suitable for use in closed rooms";;https://www.amazon.de/Campingaz-cartridge-overheating-protection-carrying/dp/B07DF2CLML?pd_rd_w=6njyF&pf_rd_p=b1c388c3-48c2-4960-8532-fa8f1477aee9&pf_rd_r=XGK87CBQZN56PNM1EW1K&pd_rd_r=822d04d6-5cfb-4c60-a907-ec5720114e87&pd_rd_wg=k4fYq&pd_rd_i=B07DF2CLML&th=1&linkCode=sl1&tag=meister002-21&linkId=4fbb25b39fe0cea42cdb31d0aa834f0a&language=en_GB&ref_=as_li_ss_tl;;;https://images-eu.ssl-images-amazon.com/images/I/81CbCsMZoUL.__AC_SY300_SX300_QL70_ML2_.jpg;Campingaz Camp Bistro DLX Compact Outdoor Gas Cooker, Gas Cartridge Camping Stove, 1-Bulb, 2200 Watt, with Overheat Protection and Carry Case;; Campingaz ;https://images-eu.ssl-images-amazon.com/images/I/81CbCsMZoUL.__AC_SY300_SX300_QL70_ML2_.jpg;Campingaz Camp Bistro DLX Compact Outdoor Gas Cooker, Gas Cartridge Camping Stove, 1-Bulb, 2200 Watt, with Overheat Protection and Carry Case;;Campingaz Camp Bistro DLX Stopgaz compact outdoor gas / gas cartridge / camping stove Camp Bistro DLX, 1 flame, 2,200 watts, with overheating protection and carrying case: Meisteraffiliateshop Sport & Freizeit;;1883;51.95; Campingaz ;campingaz-camp-bistro-dlx-compact-outdoor-gas-cooker-gas-cartridge-camping-stove-1-bulb-2200-watt-with-overheat-protection-and-carry-case;;Campingaz Camp Bistro DLX Compact Outdoor Gas Cooker, Gas Cartridge Camping Stove, 1-Bulb, 2200 Watt, with Overheat Protection and Carry Case;;2021/06/21 11:54:59;0da6dfd2-72cc-4129-90e8-dde03e4034b3
;;;;2021/06/21 11:55:00;;;https://www.amazon.de/Blue-Kondensatormikrofon-Professionelle-Aufnahme-Streaming-Anwendungen/dp/B074379C7Q?&linkCode=sl1&tag=meister002-21&linkId=0e42027f15c536bd3fd27034f7105d9d&language=en_GB&ref_=as_li_ss_tl;;;;;;;;;;;;;;;;;;;2021/06/21 11:55:00;b11f1259-4976-4489-abed-b6a00b279ff5
B08N5R6ZGX;; Apple ;;2021/06/21 11:55:01;About this item         Apple designed M1 chip for a gigantic performance leap in CPU and GPU and machine learning.     FaceTime HD camera with advanced image signal processor for clearer, sharper video calls.     Do more than ever with up to 18 hours. Battery life:     The 8-Core CPU delivers up to 3.5x faster performance to get projects done faster than ever before.     Up to eight GPU cores with up to 5x faster graphics for graphics-intensive apps and games.     16-core neural engine for advanced machine learning.     8GB shared memory so everything you do is quick and fluid.                   Super-fast SSD storage starts apps and opens files instantly  Fanless design for quiet operation  13.3 inch Retina display (33.78 cm diagonal) with large P3 colour space for vivid images and incredible details in images.    Show More;;https://www.amazon.de/gp/product/B08N5R6ZGX?ie=UTF8&linkCode=sl1&tag=meister002-21&linkId=89f5396d7b36b432c2f03a9ca128f00b&language=en_GB&ref_=as_li_ss_tl;;;https://images-eu.ssl-images-amazon.com/images/I/71jG%2Be7roXL.__AC_SY445_SX342_QL70_ML2_.jpg;Apple MacBook Air with Apple M1 chip (13 inch, 8GB RAM);; Apple ;https://images-eu.ssl-images-amazon.com/images/I/71jG%2Be7roXL.__AC_SY445_SX342_QL70_ML2_.jpg;Apple MacBook Air with Apple M1 chip (13 inch, 8GB RAM);;Apple MacBook Air with Apple M1 chip (13 inch, 8GB RAM): Meisteraffiliateshop Alle Produkte;;1673;1.185.00; Apple ;apple-macbook-air-with-apple-m1-chip-13-inch-8gb-ram;;Apple MacBook Air with Apple M1 chip (13 inch, 8GB RAM);;2021/06/21 11:55:01;9cfe68df-d6cd-496b-839e-65de198ce0eb
B08Q2CYLTQ;; Apple ;;2021/06/21 11:55:01;About this item         A special dynamic driver from Apple delivers Hi‐Fi Audio     Active noise cancellation blocks out outside noises so you can immerse yourself in your music     With the transparency mode, you can hear and respond to your environment     3DAudio with dynamic head tracking ensures surround sound like in the cinema     Computational Audio combines a special acoustic design with the Apple H1Chip for a revolutionary listening experience;;https://www.amazon.de/gp/product/B08Q2CYLTQ?ie=UTF8&linkCode=sl1&tag=meister002-21&linkId=ec38f72f3b1764e973b072495a2e45c0&language=en_GB&ref_=as_li_ss_tl;;;https://images-eu.ssl-images-amazon.com/images/I/81jqUPkIVRL.__AC_SY445_SX342_QL70_ML2_.jpg;Apple AirPods Max;; Apple ;https://images-eu.ssl-images-amazon.com/images/I/81jqUPkIVRL.__AC_SY445_SX342_QL70_ML2_.jpg;Apple AirPods Max;;Apple AirPods Max: Meisteraffiliateshop Alle Produkte;;325;474.99; Apple ;apple-airpods-max;;Apple AirPods Max;;2021/06/21 11:55:01;c18023a6-2441-43bb-b63a-80bd8a7cacc8
B07PZR3PVB;; Apple ;;2021/06/21 11:55:01;"About this item         Automatic power on and connect.     Easy setup for all your Apple devices.     Quick access to Siri by simply saying ""Hey Siri"".     Double tap to play a track or jump to the next.     The new Apple H1 chip enables faster wireless connections to your devices.     Quick charging in the case.     Case can be charged with a Lightning connector.                   Rich, high-quality audio and voice playback.  Seamless switching between devices.  Listen and talk all day long with multiple charges from the wireless charging case.    Show More";;https://www.amazon.de/gp/product/B07PZR3PVB?ie=UTF8&linkCode=sl1&tag=meister002-21&linkId=e51d8571f1a12db0fa4eaf959d83bbb8&language=en_GB&ref_=as_li_ss_tl;;;https://images-eu.ssl-images-amazon.com/images/I/71NTi82uBEL.__AC_SY445_SX342_QL70_ML2_.jpg;Apple Airpods with wired loading case;; Apple ;https://images-eu.ssl-images-amazon.com/images/I/71NTi82uBEL.__AC_SY445_SX342_QL70_ML2_.jpg;Apple Airpods with wired loading case;;Apple Airpods with wired loading case: Meisteraffiliateshop Alle Produkte;;102678;125.00; Apple ;apple-airpods-with-wired-loading-case;;Apple Airpods with wired loading case;;2021/06/21 11:55:01;12e99a8a-d001-4829-aaec-b08ca511cc69
B07CVP5HMP;; CalDigit;;2021/06/21 11:55:01;"About this item                           15 ports of connectivity: 2x Thunderbolt 3 40 Gbps, DisplayPort 1.2, 5x USB-A and 1 USB-C 3.1 Gen 1 (5 Gb/s), 1x USB-C 3.1 Gen2 (only 10 Gb/s data), Gigabit Ethernet, UHS-II SD card slot (SD 4.0), optical Audio (S/P). DIF), 3.5 mm stereo audio input and output. Vertical or horizontal orientation. Robust full aluminium construction with integrated heat sink without fan.     [Powerful 85 W laptop charging]: Provides up to 85 W for charging your laptop and powering all USB peripherals. The secondary Thunderbolt 3 port provides 15W of power for downstream devices.     Dual 4K extended displays: connect up to two 4K @ 60Hz monitors (4096 x 2160, 30 bit) via the DisplayPort and Thunderbolt 3/USB-C port, or a single 5K @ 60Hz display can be supported via the Thunderbolt 3 port. (*** DisplayPort to HDMI / DVI / VGA adapter / cable must be an active type. Passive dongle / cable would not work. ***)     UHS-II SD 4.0 card slot: the latest UHS-II SD card slot supports SD/SDHC/SDXC with a bus speed of up to 312 MB/s. Transfer footage from your camera 3x faster than the UHS-I counterpart     [MAC &amp; WINDOWS COMPATIBLE]: Ideal for 2016+ MacBook Pro, 2017+ iMac Pro, Mac OS 10.12 or Windows 8/10 with Thunderbolt 3 port. (Not compatible with 2015+ MacBook Retina with USB-C port. Please use CalDigit USB-C dock with MacBook retina).                See more product details";;https://www.amazon.de/gp/product/B07CVP5HMP?ie=UTF8&linkCode=sl1&tag=meister002-21&linkId=2a7975eb264d6395867474f7c352d399&language=en_GB&ref_=as_li_ss_tl;;;https://images-eu.ssl-images-amazon.com/images/I/41yua8xR%2B6L.__AC_SX300_SY300_QL70_ML2_.jpg;CalDigit TS3 Plus - Thunderbolt Station 3 (0.7M) Cable - 85W Charging, 7 x USB 3.1 Ports, USB-C Gen 2, DisplayPort, UHS-II SD Card Slot, LAN (Space Grey);; CalDigit;https://images-eu.ssl-images-amazon.com/images/I/41yua8xR%2B6L.__AC_SX300_SY300_QL70_ML2_.jpg;CalDigit TS3 Plus - Thunderbolt Station 3 (0.7M) Cable - 85W Charging, 7 x USB 3.1 Ports, USB-C Gen 2, DisplayPort, UHS-II SD Card Slot, LAN (Space Grey);;CalDigit TS3 Plus - Thunderbolt Station 3 Cable - 85W: Meisteraffiliateshop Computers & Accessories;;522;289.99; CalDigit;caldigit-ts3-plus-thunderbolt-station-3-0.7m-cable-85w-charging-7-x-usb-3.1-ports-usb-c-gen-2-displayport-uhs-ii-sd-card-slot-lan-space-grey;;CalDigit TS3 Plus - Thunderbolt Station 3 (0.7M) Cable - 85W Charging, 7 x USB 3.1 Ports, USB-C Gen 2, DisplayPort, UHS-II SD Card Slot, LAN (Space Grey);;2021/06/21 11:55:01;e817703d-b8f7-4948-b47a-ec359b787b2d
B07PD19Y5P;; LG ;;2021/06/21 11:55:02;About this item                           Curved (3.8 m radius) AH-IPS panel with HDR10 for PC, 99% sRGB colour space, 10-bit colour depth, consistently brilliant colours and factory calibration.     Ideal replacement for 2 screen solutions due to high resolution of 5120 x 1440 pixels. Replaces 2 x 27 inch QHD monitors.     Versatile connectivity such as 2 x HDMI (with HDCP2.2), DisplayPort1.4, USB-C (with up to 85W PD) and a USB Hub 3.0 (1/2) incl. Quick Charge.     Screen Split divides the screen into up to four sections (on Windows or Mac).     Dual Link displays two or three video sources at the same time.                See more product details;;https://www.amazon.de/gp/product/B07PD19Y5P?ie=UTF8&linkCode=sl1&tag=meister002-21&linkId=3b30fd70c6692c6feef7ec40798a9bc7&language=en_GB&ref_=as_li_ss_tl;;;https://images-eu.ssl-images-amazon.com/images/I/611TXip2z1L.__AC_SY300_SX300_QL70_ML2_.jpg;"LG 49WL95C-W, 124.46 cm / 49 Inch, Curved 32:9 UltraWide&trade; Dual QHD IPS Monitor (HDR10, USB Type-C, DAS Mode, Rich Bass), Black / White";; LG ;https://images-eu.ssl-images-amazon.com/images/I/611TXip2z1L.__AC_SY300_SX300_QL70_ML2_.jpg;"LG 49WL95C-W, 124.46 cm / 49 Inch, Curved 32:9 UltraWide&trade; Dual QHD IPS Monitor (HDR10, USB Type-C, DAS Mode, Rich Bass), Black / White";;LG 49WL95C-W, 124.46 cm / 49 Inch, Curved 32:9: Meisteraffiliateshop Computers & Accessories;;167;; LG ;lg-49wl95c-w-124.46-cm-49-inch-curved-329-ultrawide™-dual-qhd-ips-monitor-hdr10-usb-type-c-das-mode-rich-bass-black-white;;LG 49WL95C-W, 124.46 cm / 49 Inch, Curved 32:9 UltraWide™ Dual QHD IPS Monitor (HDR10, USB Type-C, DAS Mode, Rich Bass), Black / White;;2021/06/21 11:55:02;c6aa7269-5e1d-401b-9cb3-092d94377f0c
B01M03W1HD;; BOSS ;;2021/06/21 11:55:02;"The unbeatable Boss GT engine in a lightweight and compact baseboard     Contemporary design with no corners or edges, Case is the perfect way to carry around your in gig bag     '""Easy' Select"" and ""easy Edit function for quick selection and Editierung     Power by 4 AA batteries with an operating time of up to 7 hours – ideal for mobile gigs and the street Musician     CTL foot switch and expression pedal connection for optional foot switch/A expression pedal and USB port                See more product details";;https://www.amazon.de/gp/product/B01M03W1HD?ie=UTF8&linkCode=sl1&tag=meister002-21&linkId=6d2a16ee6906cad810d38bff20579542&language=en_GB&ref_=as_li_ss_tl;;;https://images-eu.ssl-images-amazon.com/images/I/71TKJEIpVZL.__AC_SY300_SX300_QL70_ML2_.jpg;Boss GT Fender Reverb Guitar Effects for Electric Guitar;; BOSS ;https://images-eu.ssl-images-amazon.com/images/I/71TKJEIpVZL.__AC_SY300_SX300_QL70_ML2_.jpg;Boss GT Fender Reverb Guitar Effects for Electric Guitar;;Boss GT Fender Reverb Guitar Effects for Electric Guitar: Meisteraffiliateshop Musical Instruments;;916;184.86; BOSS ;boss-gt-fender-reverb-guitar-effects-for-electric-guitar;;Boss GT Fender Reverb Guitar Effects for Electric Guitar;;2021/06/21 11:55:02;dc0e9023-ced8-48e2-a5c8-8e807120e07e
B07ZPML7NP;; Apple;;2021/06/21 11:55:02;"About this item         Active noise cancellation for immersive sound.     Transparency mode to hear and respond to your environment.     Soft, conical silicone tips in three sizes for a custom fit.     Protected from sweat and water.     Adaptive EQ automatically adjusts music to your ear shape.     Easy setup for all your Apple devices.     Quick access to Siri by simply saying ""Hey Siri"".     The wireless charging case gives you over 24 hours of battery life.";;https://www.amazon.de/gp/product/B07ZPML7NP?ie=UTF8&linkCode=sl1&tag=meister002-21&linkId=db50836552df1e1834d18642348cf8c7&language=en_GB&ref_=as_li_ss_tl;;;https://images-eu.ssl-images-amazon.com/images/I/71zny7BTRlL.__AC_SY445_SX342_QL70_ML2_.jpg;Apple AirPods Pro;; Apple;https://images-eu.ssl-images-amazon.com/images/I/71zny7BTRlL.__AC_SY445_SX342_QL70_ML2_.jpg;Apple AirPods Pro;;Apple AirPods Pro: Meisteraffiliateshop Alle Produkte;;35228;194.00; Apple;apple-airpods-pro;;Apple AirPods Pro;;2021/06/21 11:55:02;90b7e686-afe1-4baf-9080-92acdda79c3f
B08MV9RSPC;; M-Audio ;;2021/06/21 11:55:02;"Essential MIDI Keyboard - 61 velocity, semi-weighted keys with aftertouch and assignable zones for playing virtual sampler instruments and synthesizer plugins.     Professional beats - 16 backlit MIDI assignable velocity RGB pads with note repeat for beat production, clip launching, soundboard triggering and more     Total control over your music production - 8 assignable knobs &amp; buttons and 9 assignable faders for tactile MIDI control of virtual instruments, effect plugins, DAWs and more     USEFUL TOOLS - Auto mapping for DAW controls &amp; plugin parameters; Smart Chord &amp; Smart Scale Modes; Arpeggiator; Pitch &amp; Modulation wheels; Sustain pedal input; 5-pin MIDI output.     Complete software production package - Pro Tools | First M-Audio Edition, MPC Beats, Ableton Live Lite, 6 virtual instruments from AIR Music Tech and 7 Akai Professional MPC Expansion Packs                See more product details";;https://www.amazon.de/M-Audio-Oxygen-Pro-61-MIDI-zuweisbaren/dp/B08MV9RSPC?psc=1&th=1&linkCode=sl1&tag=meister002-21&linkId=31d337ab17342d74088ad3d6af752575&language=en_GB&ref_=as_li_ss_tl;;;https://images-eu.ssl-images-amazon.com/images/I/81RUIcIopdL.__AC_SX300_SY300_QL70_ML2_.jpg;M-Audio Oxygen IV - USB Keyboard and Pad MIDI Controller with Responsive Buttons, VIP 3.0, Ableton Live Lite, SONiVOX Twist, Xpand2;; M-Audio ;https://images-eu.ssl-images-amazon.com/images/I/81RUIcIopdL.__AC_SX300_SY300_QL70_ML2_.jpg;M-Audio Oxygen IV - USB Keyboard and Pad MIDI Controller with Responsive Buttons, VIP 3.0, Ableton Live Lite, SONiVOX Twist, Xpand2;;M-Audio Oxygen IV - USB Keyboard and Pad MIDI Controller with Responsive Buttons, VIP 3.0, Ableton Live Lite, SONiVOX Twist, Xpand2: Meisteraffiliateshop Musical Instruments;;1865;259.00; M-Audio ;m-audio-oxygen-iv-usb-keyboard-and-pad-midi-controller-with-responsive-buttons-vip-3.0-ableton-live-lite-sonivox-twist-xpand2;;M-Audio Oxygen IV - USB Keyboard and Pad MIDI Controller with Responsive Buttons, VIP 3.0, Ableton Live Lite, SONiVOX Twist, Xpand2;;2021/06/21 11:55:02;b03fefd9-4402-4a51-a563-9f23e40a544c
B00B4KNZH0;; little tikes ;;2021/06/21 11:55:03;"About this item         DIG, BUILD, &amp; POUR - This fantastic sandpit is a much-loved Little Tikes classic! It provides hours of active play and fun for children. Ages: 12 months to 6 years +     USE AS SAND PIT OR POOL - The Turtle Sandbox by Little Tikes is ideal for sunny days and is so versatile it can be used as either a sandpit or a ball pool     LARGE AREA - Your children will enjoy lots of hands-on play as they dig, build, and pour. Large area for lots of sand play. Moulded in detail on the bottom of the sandbox to encourage digging.     REMOVABLE LID - Turtle shell is a removable lid that covers sand area when not in use     TWO MOULDED SEATS - Two seats moulded into the outside of the sandbox do not take away from the sand area. It's perfect for active play and social interaction                See more product details";;https://www.amazon.de/gp/product/B00B4KNZH0?ie=UTF8&linkCode=sl1&tag=meister002-21&linkId=958a05ba5867f80e56de2ef1ff2d7eeb&language=en_GB&ref_=as_li_ss_tl;;;https://images-eu.ssl-images-amazon.com/images/I/71u3Y1vOSaL.__AC_SX300_SY300_QL70_ML2_.jpg;"Little Tikes Turtle Sandbox - Outdoor Playset for Toddlers - Safe &amp; Portable - Encourages Creative Play";; little tikes ;https://images-eu.ssl-images-amazon.com/images/I/71u3Y1vOSaL.__AC_SX300_SY300_QL70_ML2_.jpg;"Little Tikes Turtle Sandbox - Outdoor Playset for Toddlers - Safe &amp; Portable - Encourages Creative Play";;Little Tikes Turtle Sandbox - Outdoor Playset for Toddlers - Safe & Portable - Encourages Creative Play: Meisteraffiliateshop Spielzeug;;2143;78.00; little tikes ;little-tikes-turtle-sandbox-outdoor-playset-for-toddlers-safe-&amp-portable-encourages-creative-play;;"Little Tikes Turtle Sandbox - Outdoor Playset for Toddlers - Safe &amp; Portable - Encourages Creative Play";;2021/06/21 11:55:03;8772f156-79b6-49d1-b0ce-4b9d70559480
